id;date;details;status;payment_method;payment_date;payment_amount;order_id
1;2021-05-30T07:25:28;navigating;PAID;PAYPAL;2021-05-30T23:48:34;63827;1
2;2021-05-30T07:36:40;alarm Jamaica;PAID;CREDIT_CARD;2021-05-31T05:33:01;31141;2
3;2021-05-30T09:59:49;Colombian Peso Unidad de Valor Real Bridge Handmade;ISSUED;PAYPAL;2021-05-31T05:26:25;26089;3
4;2021-05-30T21:32:14;Personal Loan Account;CANCELLED;PAYPAL;2021-05-30T15:06:35;94425;4
5;2021-05-31T05:53:29;New York Data North Dakota;CANCELLED;PAYPAL;2021-05-30T07:27:34;65148;5
6;2021-05-30T08:47:58;black;ISSUED;CASH_ON_DELIVERY;2021-05-31T04:49:09;65572;6
7;2021-05-30T22:52:20;quantifying Garden;ISSUED;PAYPAL;2021-05-30T23:45:32;54797;7
8;2021-05-31T02:16:09;quantify multi-byte;ISSUED;CREDIT_CARD;2021-05-30T20:13:55;67984;8
9;2021-05-30T12:30:25;compress Fantastic Global;PAID;CASH_ON_DELIVERY;2021-05-30T22:51:51;95680;9
10;2021-05-30T07:43:35;Applications Missouri deposit;ISSUED;CREDIT_CARD;2021-05-31T04:20:20;93092;10
