id;placed_date;status;code;customer_id
1;2021-05-31T00:50:01;PENDING;calculating withdrawal Nevada;1
2;2021-05-31T04:16:46;COMPLETED;Strategist target;2
3;2021-05-30T09:07:08;PENDING;Cambridgeshire white sensor;3
4;2021-05-30T23:47:21;COMPLETED;Applications Response Human;4
5;2021-05-30T21:38:38;CANCELLED;Strategist SDD;5
6;2021-05-30T23:27:39;CANCELLED;infrastructure;6
7;2021-05-31T02:27:35;CANCELLED;Arkansas Intelligent Credit Card Account;7
8;2021-05-30T06:46:00;CANCELLED;program;8
9;2021-05-30T13:47:58;PENDING;discrete redundant;9
10;2021-05-30T11:05:07;CANCELLED;Avon;10
