id;tracking_code;date;details;invoice_id
1;Associate Designer;2021-05-31T05:11:13;circuit Guam;1
2;Frozen Metal program;2021-05-30T15:41:26;Refined Practical Algerian Dinar;2
3;revolutionize;2021-05-30T09:07:21;Steel Avon Visionary;3
4;exploit transition;2021-05-30T11:01:15;Interactions;4
5;Pennsylvania dynamic bandwidth;2021-05-30T18:58:04;mesh system Triple-buffered;5
6;Cotton;2021-05-30T18:42:17;Tools;6
7;Arizona hack;2021-05-30T12:06:55;quantifying;7
8;synthesize Idaho Markets;2021-05-30T21:31:51;asymmetric EXE;8
9;web services;2021-05-30T11:16:38;Strategist;9
10;Incredible Fresh Car Tuvalu;2021-05-30T06:41:49;Gorgeous Rubber Chicken Associate Central African Republic;10
